"StartDate","Do you work within Academia or Administration?","I think AC staff meetings are run well","I enjoy AC staff camps","AC graduation and other public events are run well","I feel valued by my manager for the work I do","I feel valued by my peers for the work I do","I feel I have the skills to do the job I've been asked to do","I have a clear understanding of the AC organisational structure","I feel I fit into the organisational culture of AC","I attend Chapel because I want to, not because I have to","The mission and vision of the College has been clearly communicated to me","I consider my office area and staff facilities adequate in order to perform my duties","I am likely to recommend AC as an employer of choice"
2014-12-10,"Administration","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree"
2014-12-10,"Administration","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
2014-12-10,"Academia","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree"
2014-12-10,"Academia","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree"
2014-12-10,"Academia","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Strongly agree","Agree","Strongly agree"
2014-12-10,"Administration","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree"
2014-12-10,"Administration","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree"
2014-12-10,"Academia","Agree","Strongly agree","Agree","Neutral","Neutral","Agree","Disagree","Agree","Neutral","Agree","Strongly agree","Agree"
2014-12-10,"Administration","Agree","Agree","Neutral","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree"
2014-12-10,"Administration","Strongly disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly disagree","Disagree"
2014-12-10,"Administration","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree"
2014-12-10,"Administration","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
2014-12-10,"Administration","Agree","Neutral","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
2014-12-10,"Academia","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree"
2014-12-10,"Administration","Agree",NA,"Agree",NA,"Agree","Agree","Neutral",NA,"Strongly agree","Neutral","Disagree","Disagree"
2014-12-10,"Administration","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree"
2014-12-10,"Administration","Neutral","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neutral","Agree","Strongly agree","Agree","Agree"
